Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-07-09 20:00:00,IoTPond7,4,25.375,32.0,7.176,6.95378
2021-07-09 20:00:00,IoTPond4,2,25.0625,100.0,2.747,7.71641
2021-07-09 20:00:00,IoTPond3,1,24.0,27.5,10.3955,7.3124
2021-07-09 20:00:00,IoTPond2,0,24.8125,100.0,5.874,7.61654
2021-07-09 20:00:00,IoTPond6,3,24.1875,100.0,1.149,7.7845
2021-07-09 21:00:00,IoTPond4,2,25.0,100.0,3.604,7.71187
2021-07-09 21:00:00,IoTPond6,3,24.0625,100.0,8.6715,7.77996
2021-07-09 21:00:00,IoTPond9,5,24.0625,94.0,8.426,7.44404
2021-07-09 21:00:00,IoTPond3,1,24.0,28.0,10.159,7.3124
2021-07-09 21:00:00,IoTPond7,4,25.25,32.0,6.475,6.95378
2021-07-09 21:00:00,IoTPond2,0,24.75,100.0,8.452,7.612
2021-07-09 22:00:00,IoTPond3,1,23.875,28.0,10.632,7.3124
2021-07-09 22:00:00,IoTPond4,2,24.9375,100.0,2.958,7.71187
2021-07-09 22:00:00,IoTPond7,4,25.1875,33.0,5.975,6.95378
2021-07-09 22:00:00,IoTPond2,0,24.6875,100.0,6.178,7.612
2021-07-09 22:00:00,IoTPond6,3,24.0,100.0,6.867000000000001,7.77996
2021-07-09 22:00:00,IoTPond9,5,23.9375,94.0,8.436,7.44404
2021-07-09 23:00:00,IoTPond2,0,24.5625,100.0,5.5735,7.612
2021-07-09 23:00:00,IoTPond3,1,23.8125,27.0,10.998000000000001,7.3124
2021-07-09 23:00:00,IoTPond7,4,25.0625,33.0,5.558,6.95378
2021-07-09 23:00:00,IoTPond4,2,24.8125,100.0,2.67,7.71187
2021-07-09 23:00:00,IoTPond6,3,23.9375,100.0,7.276,7.78223
2021-07-09 23:00:00,IoTPond9,5,23.8125,92.0,8.51,7.44404
2021-07-10 00:00:00,IoTPond7,4,25.0,33.0,5.342,6.95378
2021-07-10 00:00:00,IoTPond3,1,23.75,28.0,11.2115,7.3124
2021-07-10 00:00:00,IoTPond9,5,23.75,93.0,8.634,7.4395
2021-07-10 00:00:00,IoTPond4,2,24.75,100.0,5.265,7.71187
2021-07-10 00:00:00,IoTPond2,0,24.5,100.0,4.6015,7.612
2021-07-10 00:00:00,IoTPond6,3,23.8125,100.0,7.2170000000000005,7.7845
2021-07-10 01:00:00,IoTPond6,3,23.75,100.0,5.427,7.7845
2021-07-10 01:00:00,IoTPond4,2,24.6875,100.0,3.811,7.71187
2021-07-10 01:00:00,IoTPond2,0,24.4375,100.0,5.155,7.612
2021-07-10 01:00:00,IoTPond7,4,24.875,33.0,5.35,6.95378
2021-07-10 01:00:00,IoTPond9,5,23.625,95.0,8.634,7.44858
2021-07-10 01:00:00,IoTPond3,1,23.6875,27.0,11.703,7.31694
2021-07-10 02:00:00,IoTPond6,3,23.75,100.0,7.405,7.79358
2021-07-10 02:00:00,IoTPond2,0,24.375,100.0,7.002,7.612
2021-07-10 02:00:00,IoTPond4,2,24.625,100.0,3.769,7.70733
2021-07-10 02:00:00,IoTPond3,1,23.625,92.0,5.08,7.31467
2021-07-10 02:00:00,IoTPond7,4,24.75,32.0,5.189,6.95378
2021-07-10 02:00:00,IoTPond9,5,23.5625,97.0,8.634,7.45312
2021-07-10 03:00:00,IoTPond9,5,23.5,95.0,8.634,7.45312
2021-07-10 03:00:00,IoTPond3,1,23.5625,20.0,12.221,7.3124
2021-07-10 03:00:00,IoTPond2,0,24.3125,100.0,7.547,7.61654
2021-07-10 03:00:00,IoTPond6,3,23.6875,100.0,7.605,7.78904
