model,feature,importance
Per-pond specialist (IoTPond7),Temp_lag1,0.06325516104698181
Per-pond specialist (IoTPond7),Temp_lag3,0.07072839885950089
Per-pond specialist (IoTPond7),Temp_lag6,0.1743164211511612
Per-pond specialist (IoTPond7),Temp_lag12,0.12037330120801926
Per-pond specialist (IoTPond7),Turb_lag1,0.18964783847332
Per-pond specialist (IoTPond7),Turb_lag3,0.13262024521827698
Per-pond specialist (IoTPond7),Turb_lag6,0.16742201149463654
Per-pond specialist (IoTPond7),Turb_lag12,0.10212302953004837
Per-pond specialist (IoTPond7),DO_lag1,0.1758265197277069
Per-pond specialist (IoTPond7),DO_lag3,0.13246674835681915
Per-pond specialist (IoTPond7),DO_lag6,0.07703348249197006
Per-pond specialist (IoTPond7),DO_lag12,0.11154943704605103
Per-pond specialist (IoTPond7),DO_lag24,0.09489218890666962
Per-pond specialist (IoTPond7),pH_lag1,1.1749011278152466
Per-pond specialist (IoTPond7),pH_lag3,1.2771867513656616
Per-pond specialist (IoTPond7),pH_lag6,1.3815786838531494
Per-pond specialist (IoTPond7),pH_lag12,0.3691030442714691
Per-pond specialist (IoTPond7),pH_lag24,0.2904662489891052
Per-pond specialist (IoTPond7),Temp_roll6_mean,0.10851351171731949
Per-pond specialist (IoTPond7),Temp_roll6_std,0.2828230559825897
Per-pond specialist (IoTPond7),DO_roll6_mean,0.537024974822998
Per-pond specialist (IoTPond7),pH_roll6_mean,1.2903988361358643
Per-pond specialist (IoTpond1),Temp,0.16681957244873047
Per-pond specialist (IoTpond1),Turb,0.1545523703098297
Per-pond specialist (IoTpond1),HourSin,0.5749124884605408
Per-pond specialist (IoTpond1),HourCos,0.17297092080116272
Per-pond specialist (IoTpond1),DayOfYearSin,0.8429832458496094
Per-pond specialist (IoTpond1),DayOfYearCos,0.3666395843029022
Per-pond specialist (IoTpond1),Temp_lag1,0.13947567343711853
Per-pond specialist (IoTpond1),Temp_lag3,0.1141183003783226
Per-pond specialist (IoTpond1),Temp_lag6,0.13238230347633362
Per-pond specialist (IoTpond1),Temp_lag12,0.18217356503009796
Per-pond specialist (IoTpond1),Turb_lag1,0.15787118673324585
Per-pond specialist (IoTpond1),Turb_lag3,0.05407826974987984
Per-pond specialist (IoTpond1),Turb_lag6,0.12326526641845703
Per-pond specialist (IoTpond1),Turb_lag12,0.1259465366601944
Per-pond specialist (IoTpond1),DO_lag1,0.08619959652423859
Per-pond specialist (IoTpond1),DO_lag3,0.09199350327253342
Per-pond specialist (IoTpond1),DO_lag6,0.1758330762386322
Per-pond specialist (IoTpond1),DO_lag12,0.17832978069782257
Per-pond specialist (IoTpond1),DO_lag24,0.09749414771795273
Per-pond specialist (IoTpond1),pH_lag1,0.5059238076210022
Per-pond specialist (IoTpond1),pH_lag3,0.2604943513870239
Per-pond specialist (IoTpond1),pH_lag6,1.6757198572158813
Per-pond specialist (IoTpond1),pH_lag12,3.576584815979004
Per-pond specialist (IoTpond1),pH_lag24,0.849153995513916
Per-pond specialist (IoTpond1),Temp_roll6_mean,0.23206064105033875
Per-pond specialist (IoTpond1),Temp_roll6_std,0.09217753261327744
Per-pond specialist (IoTpond1),DO_roll6_mean,0.6147382259368896
Per-pond specialist (IoTpond1),pH_roll6_mean,1.0685184001922607
